test_type,topic,level,question,option_a,option_b,option_c,option_d,answer,source
aptitude,Logical Reasoning,hard,In a family A is father of B. B is sister of C. C is married to D. E is son of D. D is father of F. How is E related to A?,Grandson,Nephew,Son,Great grandson,Grandson,indiabix
aptitude,Logical Reasoning,hard,7 books in a shelf. A is 3rd from left. B is between E and A. C is between F and D. G is to right of F. What is the order?,FEACBDG,EFABCDG,FEABDCG,FECABDG,FEACBDG,indiabix
aptitude,Logical Reasoning,hard,Six friends sit in two rows of 3 each facing each other. A is not at end. B faces C. D is between A and C. E faces B. Who is at corner with D?,A and C,F and B,A and F,A and E,A and F,indiabix
aptitude,Logical Reasoning,hard,All trains are buses. Some buses are trucks. Some trucks are cars. Conclusion I: Some trains are cars. Conclusion II: Some buses are cars.,Only I,Only II,Both I and II,Neither I nor II,Neither I nor II,indiabix
aptitude,Logical Reasoning,hard,In a code MONKEY=XDJMNB. What is TIGER coded as?,QDFHS,PDFHS,QDEHS,QDFHS,QDFHS,indiabix
aptitude,Logical Reasoning,hard,A is 40m south of B. C is 30m east of A. D is 50m north of C. How far is D from B?,10m,20m,30m,40m,10m,indiabix
aptitude,Logical Reasoning,hard,10 friends sit in circle all facing center. A is 4th to right of G. B is between A and C. D is 3rd to left of E. F is between E and G. H and I are not neighbors. Who is opposite A?,F,G,D,E,F,indiabix
aptitude,Logical Reasoning,hard,Some A are B. No B are C. Some C are D. All D are A. Conclusion: Some A are not C?,True,False,Cannot determine,Partially true,True,indiabix
aptitude,Logical Reasoning,hard,Direction: Starting from point X I walked 2km north then 3km east then 1km south then 2km east then 2km south. Distance from X?,5km,6km,7km,8km,5km,indiabix
aptitude,Logical Reasoning,easy,Find odd: 2 3 5 7 9 11,2,9,11,3,9,indiabix
aptitude,Logical Reasoning,easy,If 1=5 2=25 3=125 then 4=?,625,600,500,700,625,indiabix
aptitude,Logical Reasoning,medium,A walks 5km north then 4km east. Distance from start?,sqrt(41),6,7,8,sqrt(41),indiabix
aptitude,Logical Reasoning,medium,Mirror image of time 12:45 on clock face is?,11:15,12:15,11:45,10:15,11:15,indiabix
aptitude,Logical Reasoning,easy,Find missing: ACE GIK MOQ ?,SWU,STV,STV,TVX,STV,indiabix
aptitude,Logical Reasoning,medium,Cube is painted red on all faces then cut into 27 equal pieces. How many cubes have exactly 2 red faces?,12,8,6,4,12,indiabix
aptitude,Logical Reasoning,hard,In a test A is 16th from top and 29th from bottom. Rank from bottom if 3 more students are added above A?,32,33,34,35,32,indiabix
aptitude,Logical Reasoning,easy,Which does not belong: Doctor Engineer Nurse Teacher?,Teacher,Nurse,Doctor,Engineer,Teacher,indiabix
aptitude,Logical Reasoning,medium,12 o clock position on a clock the angle between hours and minutes after 15 min is?,90,82.5,87.5,80,82.5,indiabix
aptitude,Logical Reasoning,hard,5 friends P Q R S T in a row. P is not adjacent to Q or R. T is not adjacent to R. Q and R are adjacent. Which is possible order?,SQPRT,SQRPT,PQRST,TSPQR,SQPRT,indiabix
aptitude,Blood Relations,easy,Ram's father is Shyam. Shyam's sister is Gita. What is Gita to Ram?,Aunt,Mother,Sister,Cousin,Aunt,indiabix
aptitude,Blood Relations,easy,A is B's sister. B is C's brother. C is D's son. How is A related to D?,Daughter,Sister,Niece,Granddaughter,Daughter,indiabix
aptitude,Blood Relations,easy,Introducing a man a woman says his wife is only daughter of my mother. How is man related to woman?,Brother,Father,Husband,Son-in-law,Husband,indiabix
aptitude,Blood Relations,easy,A man says this lady is my wife's mother's only daughter. How is lady related to man?,Mother-in-law,Sister,Wife,Daughter,Wife,indiabix
aptitude,Blood Relations,easy,Pointing to photograph Seema says he is only son of my grandfather. How is person in photo related to Seema?,Brother,Uncle,Father,Cousin,Brother,indiabix
aptitude,Blood Relations,easy,A and B are brothers. C and D are sisters. A's son is D's brother. How is B related to C?,Uncle,Brother,Father,Grandfather,Uncle,indiabix
aptitude,Blood Relations,easy,P is father of Q. Q is sister of R. S is mother of Q. How is P related to S?,Husband,Brother,Father,Uncle,Husband,indiabix
aptitude,Blood Relations,easy,Pointing to Suresh a girl says he is son of only child of my grandfather. How is girl related to Suresh?,Sister,Aunt,Daughter,Cousin,Sister,indiabix
aptitude,Blood Relations,easy,A is B's brother. C is A's mother. D is C's father. E is B's son. How is D related to E?,Great grandfather,Grandfather,Father,Uncle,Great grandfather,indiabix
aptitude,Blood Relations,easy,Ravi is the son of Meena's father's sister. How is Meena related to Ravi?,Cousin,Aunt,Sister,Niece,Cousin,indiabix
aptitude,Blood Relations,medium,A said to B his mother is wife of my father's son. A has no brothers. How is B's mother related to A?,Wife,Daughter,Mother-in-law,Sister-in-law,Wife,indiabix
aptitude,Blood Relations,medium,Looking at a portrait a man says the person's mother is the wife of my father's son. I have no siblings. Whose portrait?,Son,Daughter,Father,Nephew,Son,indiabix
aptitude,Blood Relations,medium,A family has 3 members. P is Q's sister. R is Q's father. How many male members at least?,1,2,3,0,1,indiabix
aptitude,Blood Relations,medium,In a family of 6 P is son of Q Q is wife of R R is son of S S is married to T T is mother of U. Who is U to R?,Sister or brother,Mother,Father,Aunt,Sister or brother,indiabix
aptitude,Blood Relations,medium,B is brother of A. M is sister of A. P is brother of M. T is father of B. S is mother of P. How is T related to S?,Husband,Father,Son,Brother,Husband,indiabix
aptitude,Blood Relations,medium,Pointing to man in photo a woman says his mother's only son is my son's father. How is woman related to man?,Sister,Mother,Aunt,Wife,Wife,indiabix
aptitude,Blood Relations,medium,A and B are children of C. If D is husband of A and E is son of D then C is E's?,Grandfather or grandmother,Father,Mother,Aunt,Grandfather or grandmother,indiabix
aptitude,Blood Relations,medium,X is son of Y. Y is brother of Z. Z is mother of A. A is sister of B. How is B related to X?,Cousin,Nephew,Brother,Uncle,Cousin,indiabix
aptitude,Blood Relations,medium,Pointing to woman Raj says she is only daughter of man who is father of my wife's husband. Who is woman to Raj?,Wife,Sister,Daughter,Mother,Sister,indiabix
aptitude,Blood Relations,medium,A+B means A is daughter of B. A-B means A is husband of B. A*B means A is son of B. If P+Q-R*S then P is S's?,Granddaughter,Daughter,Niece,Sister-in-law,Granddaughter,indiabix
aptitude,Blood Relations,hard,In a group of persons A is brother of B. C is father of D. E is mother of A. D is sister of B. How many male can we confirm?,1,2,3,4,1,indiabix
aptitude,Blood Relations,hard,P$Q means P is father of Q. P#Q means P is mother of Q. P*Q means P is sister of Q. If A$B#C*D then how is A related to D?,Maternal grandfather,Paternal grandfather,Father,Grandfather,Maternal grandfather,indiabix
aptitude,Blood Relations,hard,P@Q means P is wife of Q. P+Q means P is son of Q. P-Q means P is brother of Q. If T@R+S-U then T is U's?,Sister-in-law,Mother,Daughter-in-law,Aunt,Sister-in-law,indiabix
aptitude,Blood Relations,hard,A family tree: J is the father of K and L. K is married to M. M is the sister of N. N is the son of O. O is the father-in-law of K. How is J related to N?,Uncle,No direct relation,Father-in-law,Brother,Uncle,indiabix
aptitude,Blood Relations,hard,In a family P is Q's father. Q is R's husband. R is S's mother. T is S's brother. How many generations represented?,2,3,4,5,3,indiabix
aptitude,Blood Relations,hard,A is grandmother of B. C is daughter of A. D is son of B. E is husband of C. How is E related to D?,Uncle,Grandfather,Grand uncle,No relation,Grand uncle,indiabix
aptitude,Blood Relations,hard,If P*Q means P is father of Q and P-Q means P is wife of Q and P+Q means P is mother of Q then in M*N-O+P N is P's?,Father,Grandfather,Maternal grandfather,Uncle,Father,indiabix
aptitude,Blood Relations,hard,5 siblings A B C D E. A is sister of B. C is brother of D. D is sister of A. E is brother of C. What is the minimum number of sisters?,2,3,4,1,3,indiabix
aptitude,Blood Relations,hard,Decipher: M%N means M is wife of N. M&N means M is son of N. M#N means M is mother of N. If A#B%C&D then A is D's?,Daughter-in-law,Mother-in-law,Aunt,Sister,Mother-in-law,indiabix
aptitude,Blood Relations,hard,Family has P Q R S T U. P is married to Q. R and S are children of P. T is Q's father. U is T's son. How is R related to U?,Nephew or niece,Cousin,Sibling,Grandchild,Nephew or niece,indiabix
aptitude,Blood Relations,easy,If Ravi's brother is Rahul and Rahul's sister is Rekha who is Rekha to Ravi?,Sister,Brother,Cousin,Aunt,Sister,indiabix
aptitude,Blood Relations,easy,A is B's husband B is C's sister D is C's mother. How is A related to D?,Son-in-law,Brother,Nephew,Uncle,Son-in-law,indiabix
aptitude,Blood Relations,medium,A is B's uncle B is C's father D is A's son. How is D related to B?,Cousin,Uncle,Nephew,Brother,Cousin,indiabix
aptitude,Blood Relations,medium,Pointing at girl Rohit said her mother is wife of my father's only son. Rohit has no siblings. Relation of girl to Rohit?,Daughter,Sister,Wife,Niece,Daughter,indiabix
aptitude,Blood Relations,easy,Mother of Ram is sister of Geeta. Geeta's son is Raju. What is Raju to Ram?,Cousin,Nephew,Brother,Uncle,Cousin,indiabix
aptitude,Blood Relations,easy,Suman is Raman's son. Ram is Suman's grandfather. Meena is Ram's only daughter-in-law. Meena is Raman's?,Wife,Mother,Sister,Aunt,Wife,indiabix
aptitude,Blood Relations,medium,In photo Jayant says the man is son of my wife's only sister's husband. How is man related to Jayant?,Nephew,Son,Cousin,Brother-in-law,Nephew,indiabix
aptitude,Blood Relations,hard,A is B's father. B is C's husband. D is E's son. C is D's only daughter. A is grandfather of E?,True,False,Cannot determine,Partially true,True,indiabix
aptitude,Blood Relations,easy,My mother's sister's son is my?,Cousin,Uncle,Brother,Nephew,Cousin,indiabix
aptitude,Blood Relations,hard,In a family: wife of brother-in-law of your mother is your?,Aunt,Mother,Cousin,No relation,Aunt,indiabix
aptitude,Verbal Ability,easy,Synonym of Eloquent?,Fluent,Silent,Angry,Confused,Fluent,indiabix
aptitude,Verbal Ability,easy,Antonym of Abundant?,Scarce,Plenty,Rich,Ample,Scarce,indiabix
aptitude,Verbal Ability,easy,Synonym of Benevolent?,Kind,Cruel,Strict,Harsh,Kind,indiabix
aptitude,Verbal Ability,easy,Antonym of Ancient?,Modern,Old,Antique,Classic,Modern,indiabix
aptitude,Verbal Ability,easy,Synonym of Diligent?,Lazy,Hardworking,Careless,Slow,Hardworking,indiabix
aptitude,Verbal Ability,easy,Antonym of Transparent?,Opaque,Clear,Obvious,Visible,Opaque,indiabix
aptitude,Verbal Ability,easy,Synonym of Serene?,Calm,Noisy,Wild,Angry,Calm,indiabix
aptitude,Verbal Ability,easy,Antonym of Trivial?,Important,Small,Minor,Insignificant,Important,indiabix
aptitude,Verbal Ability,easy,Correct spelling?,Recieve,Receive,Recive,Receve,Receive,indiabix
aptitude,Verbal Ability,easy,Choose correct sentence:,She don't know,She doesn't knows,She doesn't know,She not knows,She doesn't know,indiabix
aptitude,Verbal Ability,medium,Correct spelling?,Accomodate,Accommodate,Acomodate,Accommadate,Accommodate,indiabix
aptitude,Verbal Ability,medium,Idiom: Bite the bullet means?,Be brave in pain,Eat fast,Miss chance,Give up,Be brave in pain,indiabix
aptitude,Verbal Ability,medium,Idiom: Hit the sack means?,Go to bed,Hit someone,Pack bags,Start work,Go to bed,indiabix
aptitude,Verbal Ability,medium,Idiom: Break the ice means?,Start conversation,Break something,Cool down,Be rude,Start conversation,indiabix
aptitude,Verbal Ability,medium,Fill in: The committee ___ divided in their opinion.,was,were,is,are,were,indiabix
aptitude,Verbal Ability,medium,Neither the teacher nor students ___ present.,was,were,is,are,were,indiabix
aptitude,Verbal Ability,medium,Choose correct: He is more taller / He is taller / He is most tallest / He is more tall,He is more taller,He is taller,He is most tallest,He is more tall,He is taller,indiabix
aptitude,Verbal Ability,medium,Synonym of Obstinate?,Stubborn,Flexible,Gentle,Humble,Stubborn,indiabix
aptitude,Verbal Ability,medium,Antonym of Magnanimous?,Mean,Generous,Noble,Forgiving,Mean,indiabix
aptitude,Verbal Ability,medium,One word substitution for one who knows many languages?,Polyglot,Bilingual,Multilingual,Linguist,Polyglot,indiabix
aptitude,Verbal Ability,hard,Fill in: Not only did she sing ___ she also danced.,but,but also,or,and also,but also,indiabix
aptitude,Verbal Ability,hard,Identify error: He is one of those students who always (A) work (B) hard for exams (C). No error (D),A,B,C,D,A,indiabix
aptitude,Verbal Ability,hard,Passive voice: They are building a new mall.,A new mall is being built,A new mall was built,A new mall has been built,A new mall will be built,A new mall is being built,indiabix
aptitude,Verbal Ability,hard,Reported speech: He said I will come tomorrow.,He said he would come next day,He said he will come tomorrow,He told he would come tomorrow,He said he came next day,He said he would come next day,indiabix
aptitude,Verbal Ability,hard,Synonym of Ignominious?,Humiliating,Glorious,Proud,Respectful,Humiliating,indiabix
aptitude,Verbal Ability,hard,Antonym of Loquacious?,Silent,Talkative,Verbose,Expressive,Silent,indiabix
aptitude,Verbal Ability,hard,Idiom: Crocodile tears means?,Fake emotions,Real sadness,Angry tears,Joy,Fake emotions,indiabix
aptitude,Verbal Ability,hard,Fill in: Scarcely had she left ___ it started raining.,when,than,before,after,when,indiabix
aptitude,Verbal Ability,hard,Identify the figure of speech: Life is a dream.,Metaphor,Simile,Personification,Hyperbole,Metaphor,indiabix
aptitude,Verbal Ability,hard,One word: A person who believes that self-interest is the basis of morality?,Egotist,Altruist,Narcissist,Hedonist,Egotist,indiabix
aptitude,Verbal Ability,easy,Antonym of Cowardice?,Bravery,Timid,Fear,Weak,Bravery,indiabix
aptitude,Verbal Ability,easy,Synonym of Haughty?,Arrogant,Humble,Polite,Kind,Arrogant,indiabix
aptitude,Verbal Ability,medium,Fill in: I wish I ___ a millionaire.,am,was,were,had been,were,indiabix
aptitude,Verbal Ability,medium,Antonym of Verbose?,Concise,Wordy,Lengthy,Detailed,Concise,indiabix
aptitude,Verbal Ability,easy,Correct spelling?,Grammer,Grammar,Grammarr,Gramar,Grammar,indiabix
aptitude,Verbal Ability,medium,Idiom: Burn the midnight oil means?,Work late,Start fire,Waste oil,Work fast,Work late,indiabix
aptitude,Verbal Ability,hard,Fill in: Had I known earlier ___ helped.,I would have,I will have,I would,I had,I would have,indiabix
aptitude,Verbal Ability,easy,Synonym of Amicable?,Friendly,Hostile,Rude,Cold,Friendly,indiabix
aptitude,Verbal Ability,medium,Idiom: A dime a dozen means?,Very common,Very rare,Very expensive,Very precious,Very common,indiabix
aptitude,Verbal Ability,hard,Choose correct voice: She teaches English (passive)?,English is taught by her,English was taught by her,English has been taught,English is being taught,English is taught by her,indiabix
technical,Python,easy,Which keyword defines a function in Python?,func,def,define,function,def,geeksforgeeks
technical,Python,easy,What is output of print(type([]))?,<class 'list'>,<class 'tuple'>,list,array,<class 'list'>,geeksforgeeks
technical,Python,easy,Which is used for single line comment?,//,#,/*,--,#,geeksforgeeks
technical,Python,easy,How to create empty list in Python?,list[],list(),{},(),list(),geeksforgeeks
technical,Python,easy,Which operator is used for exponentiation?,^,**,*,^^,**,geeksforgeeks
technical,Python,easy,What does len() function return?,Last element,Length of object,Data type,Memory address,Length of object,geeksforgeeks
technical,Python,easy,How to convert string to integer?,str(),int(),float(),convert(),int(),geeksforgeeks
technical,Python,easy,What is output of print(10//3)?,3.33,3,4,2,3,geeksforgeeks
technical,Python,easy,Which is NOT a Python data type?,list,dict,array,tuple,array,geeksforgeeks
technical,Python,easy,What is output of print('Hello'*3)?,Hello3,HelloHelloHello,Error,Hello Hello Hello,HelloHelloHello,geeksforgeeks
technical,Python,medium,Output of: [x**2 for x in range(5) if x%2==0]?,[0 4 16],[0 1 4],[4 16],[0 4],[0 4 16],geeksforgeeks
technical,Python,medium,What does 'self' refer to in Python class?,Class itself,Current object,Parent class,Module,Current object,geeksforgeeks
technical,Python,medium,Which method adds element at end of list?,add(),insert(),append(),extend(),append(),geeksforgeeks
technical,Python,medium,What is lambda function?,Named function,Anonymous function,Recursive function,Built-in function,Anonymous function,geeksforgeeks
technical,Python,medium,Which is correct way to open a file in read mode?,open('file' r),open('file' 'r'),open('file' mode=r),open('file'),open('file' 'r'),geeksforgeeks
technical,Python,medium,What is output of print(bool(0))?,True,False,None,Error,False,geeksforgeeks
technical,Python,medium,Which exception is raised when dividing by zero?,ValueError,ZeroDivisionError,ArithmeticError,TypeError,ZeroDivisionError,geeksforgeeks
technical,Python,medium,What is output of list(range(2 10 2))?,2 4 6 8,2 4 6 8 10,0 2 4 6 8,2 6 10,2 4 6 8,geeksforgeeks
technical,Python,medium,Which keyword is used for inheritance?,inherits,extends,class Base:,class Child(Parent):,class Child(Parent):,geeksforgeeks
technical,Python,medium,What is output of: d={1:'a' 2:'b'} print(d.get(3 'not found'))?,Error,None,not found,3,not found,geeksforgeeks
technical,Python,hard,What is output of: print([i for i in range(10) if i%2==0 if i%3==0])?,0 6,[0 6],0 2 6,[0],[ 0 6],geeksforgeeks
technical,Python,hard,What is a decorator in Python?,A function that returns another function,A class method,A special variable,A module,A function that returns another function,geeksforgeeks
technical,Python,hard,What is output of: a=1;b=2;a b=b a;print(a b)?,1 2,2 1,Error,2 2,2 1,geeksforgeeks
technical,Python,hard,What is a generator in Python?,A function with return,A function with yield,A class that generates,A built-in function,A function with yield,geeksforgeeks
technical,Python,hard,What is the output of: x=[1 2 3];y=x;y[0]=10;print(x[0])?,1,10,Error,None,10,geeksforgeeks
technical,Python,hard,What does *args do in function definition?,Sends keyword arguments,Sends variable number of arguments,Sends only one argument,Error,Sends variable number of arguments,geeksforgeeks
technical,Python,hard,Which is correct about __init__ method?,Called after object creation,Called during object creation,Called when object deleted,Optional always,Called during object creation,geeksforgeeks
technical,Python,hard,What is output: print(type(lambda x:x))?,<class 'function'>,<class 'lambda'>,Error,<class 'method'>,<class 'function'>,geeksforgeeks
technical,Python,hard,What is shallow copy vs deep copy?,Same reference vs new copy,New copy vs same reference,Both same reference,Both new copies,Same reference vs new copy,geeksforgeeks
technical,Python,hard,What is GIL in Python?,Global Integer Lock,Global Interpreter Lock,General Interpreter Library,Global Instance Lock,Global Interpreter Lock,geeksforgeeks
technical,Python,easy,Which method removes and returns last element of list?,remove(),del(),pop(),discard(),pop(),geeksforgeeks
technical,Python,easy,What is output of print(3==3.0)?,False,True,Error,None,True,geeksforgeeks
technical,Python,medium,How to merge two dictionaries d1 and d2 in Python 3.9+?,d1+d2,d1|d2,d1.merge(d2),merge(d1 d2),d1|d2,geeksforgeeks
technical,Python,medium,What is output: x='hello';print(x[::-1])?,hello,olleh,Error,hell,olleh,geeksforgeeks
technical,Python,easy,Which function is used to read input from user?,scan(),read(),input(),get(),input(),geeksforgeeks
technical,Python,medium,What is output of: print(type({1 2 3}))?,<class 'dict'>,<class 'set'>,<class 'list'>,<class 'tuple'>,<class 'set'>,geeksforgeeks
technical,Python,hard,What is metaclass in Python?,Subclass of class,Class of a class,Base class,Static class,Class of a class,geeksforgeeks
technical,Python,easy,How to check if key exists in dict d?,key in d,d.has(key),d.exists(key),d.contains(key),key in d,geeksforgeeks
technical,Python,medium,What is output: print(0.1+0.2==0.3)?,True,False,Error,None,False,geeksforgeeks
technical,Python,hard,What is difference between is and ==?,is checks type == checks value,is checks identity == checks equality,Both same,== checks type is checks value,is checks identity == checks equality,geeksforgeeks
technical,Data Structures,easy,Which uses LIFO?,Queue,Stack,Tree,Graph,Stack,geeksforgeeks
technical,Data Structures,easy,Array indexing starts from?,1,0,-1,Depends,0,geeksforgeeks
technical,Data Structures,easy,Which data structure uses FIFO?,Stack,Queue,Tree,Heap,Queue,geeksforgeeks
technical,Data Structures,easy,What is a linked list?,Array of pointers,Nodes connected via pointers,Circular array,Fixed size array,Nodes connected via pointers,geeksforgeeks
technical,Data Structures,easy,Time complexity of accessing array element by index?,O(n),O(log n),O(1),O(n^2),O(1),geeksforgeeks
technical,Data Structures,easy,What is a binary tree?,Tree with 2 levels,Tree where each node has at most 2 children,Tree with 2 roots,Tree with exactly 2 children,Tree where each node has at most 2 children,geeksforgeeks
technical,Data Structures,easy,Which traversal visits root first then left then right?,Inorder,Postorder,Preorder,Level order,Preorder,geeksforgeeks
technical,Data Structures,easy,What is the full form of DSA?,Data System Architecture,Data Structures and Algorithms,Database Structure Analysis,Dynamic System Analysis,Data Structures and Algorithms,geeksforgeeks
technical,Data Structures,easy,Which is a non-linear data structure?,Array,Queue,Tree,Stack,Tree,geeksforgeeks
technical,Data Structures,easy,What is a hash table?,Array with sorting,Key-value pair storage with hashing,Linked list variant,Tree structure,Key-value pair storage with hashing,geeksforgeeks
technical,Data Structures,medium,Which is NOT a linear data structure?,Array,LinkedList,Tree,Queue,Tree,geeksforgeeks
technical,Data Structures,medium,In BST inorder traversal gives?,Sorted descending,Sorted ascending,Random,Level order,Sorted ascending,geeksforgeeks
technical,Data Structures,medium,What is height of balanced binary tree with n nodes?,O(n),O(log n),O(n^2),O(sqrt n),O(log n),geeksforgeeks
technical,Data Structures,medium,Which data structure is used in BFS?,Stack,Queue,Heap,Graph,Queue,geeksforgeeks
technical,Data Structures,medium,What is time complexity of inserting at end of doubly linked list with tail pointer?,O(1),O(n),O(log n),O(n^2),O(1),geeksforgeeks
technical,Data Structures,medium,In a max heap what is at root?,Minimum element,Maximum element,Middle element,Last element,Maximum element,geeksforgeeks
technical,Data Structures,medium,What is a deque?,Double ended queue,Duplicate queue,Divided queue,Default queue,Double ended queue,geeksforgeeks
technical,Data Structures,medium,What is time complexity of searching in BST (worst case)?,O(1),O(log n),O(n),O(n^2),O(n),geeksforgeeks
technical,Data Structures,medium,Which traversal is used to delete a binary tree?,Preorder,Inorder,Postorder,Level order,Postorder,geeksforgeeks
technical,Data Structures,medium,What is a trie used for?,Sorting numbers,String searching and prefix matching,Graph traversal,Matrix operations,String searching and prefix matching,geeksforgeeks
technical,Data Structures,hard,Space complexity of recursive fibonacci?,O(1),O(n),O(log n),O(n^2),O(n),geeksforgeeks
technical,Data Structures,hard,What is AVL tree?,Self-balancing BST,Unbalanced tree,Complete binary tree,Red-black tree,Self-balancing BST,geeksforgeeks
technical,Data Structures,hard,Time complexity of finding kth smallest in BST?,O(n),O(k),O(log n),O(k log n),O(n),geeksforgeeks
technical,Data Structures,hard,What is a B-tree used for?,In-memory sorting,Disk-based storage,Network routing,Array sorting,Disk-based storage,geeksforgeeks
technical,Data Structures,hard,In skip list search complexity is?,O(n),O(log n),O(n log n),O(1),O(log n),geeksforgeeks
technical,Data Structures,hard,What is segment tree used for?,String matching,Range query operations,Graph operations,Heap operations,Range query operations,geeksforgeeks
technical,Data Structures,hard,Amortized complexity of push in dynamic array?,O(n),O(1),O(log n),O(n^2),O(1),geeksforgeeks
technical,Data Structures,hard,What is a Fenwick tree (BIT) used for?,Sorting,Prefix sum queries,Graph search,String matching,Prefix sum queries,geeksforgeeks
technical,Data Structures,hard,Minimum number of nodes in AVL tree of height h?,Fibonacci-like,2^h,h+1,h*2,Fibonacci-like,geeksforgeeks
technical,Data Structures,hard,Time complexity of union-find with path compression?,O(log n),O(alpha n),O(n),O(1),O(alpha n),geeksforgeeks
technical,Data Structures,easy,What is overflow in stack?,Empty stack operation,Adding element to full stack,Removing from empty stack,Array out of bounds,Adding element to full stack,geeksforgeeks
technical,Data Structures,easy,Which traversal gives sorted output for BST?,Preorder,Postorder,Inorder,Level order,Inorder,geeksforgeeks
technical,Data Structures,medium,What is time complexity of merging two sorted linked lists?,O(m+n),O(m*n),O(m log n),O(n),O(m+n),geeksforgeeks
technical,Data Structures,medium,Minimum number of edges in connected graph with n nodes?,n-1,n,n+1,n/2,n-1,geeksforgeeks
technical,Data Structures,easy,Stack is implemented using?,Array or linked list,Only array,Only linked list,Queue,Array or linked list,geeksforgeeks
technical,Data Structures,medium,What is sparse matrix?,Matrix with mostly zeros,Matrix with mostly non-zeros,Square matrix,Identity matrix,Matrix with mostly zeros,geeksforgeeks
technical,Data Structures,hard,LRU cache can be implemented using?,Array and stack,Doubly linked list and hash map,BST and queue,Heap and array,Doubly linked list and hash map,geeksforgeeks
technical,Data Structures,easy,What is leaf node in tree?,Node with children,Node with no children,Root node,Parent node,Node with no children,geeksforgeeks
technical,Data Structures,medium,Time complexity of heapify operation?,O(1),O(log n),O(n),O(n log n),O(log n),geeksforgeeks
technical,Data Structures,hard,What is topological sort used for?,Undirected graphs,DAG ordering,Finding shortest path,Cycle detection,DAG ordering,geeksforgeeks
technical,Algorithms,easy,Time complexity of binary search?,O(n),O(log n),O(n^2),O(1),O(log n),geeksforgeeks
technical,Algorithms,easy,Which sorting is fastest on average?,Bubble,Selection,Quick,Insertion,Quick,geeksforgeeks
technical,Algorithms,easy,What is brute force approach?,Try all possibilities,Try best solution,Divide and conquer,Greedy approach,Try all possibilities,geeksforgeeks
technical,Algorithms,easy,Time complexity of bubble sort (worst case)?,O(n),O(n log n),O(n^2),O(log n),O(n^2),geeksforgeeks
technical,Algorithms,easy,Which is divide and conquer algorithm?,Bubble sort,Merge sort,Selection sort,Insertion sort,Merge sort,geeksforgeeks
technical,Algorithms,easy,What does greedy algorithm do?,Optimises globally,Makes locally optimal choice,Uses recursion,Uses dynamic programming,Makes locally optimal choice,geeksforgeeks
technical,Algorithms,easy,What is recursion?,Function calling itself,Function calling other,Loop,Iteration,Function calling itself,geeksforgeeks
technical,Algorithms,easy,Time complexity of linear search?,O(1),O(log n),O(n),O(n^2),O(n),geeksforgeeks
technical,Algorithms,easy,What is base case in recursion?,First call,Last call,Termination condition,Middle call,Termination condition,geeksforgeeks
technical,Algorithms,easy,Which algorithm is used to find shortest path?,DFS,BFS,Both,Neither,BFS,geeksforgeeks
technical,Algorithms,medium,Dijkstra's algorithm is used for?,Shortest path,Sorting,Searching,Hashing,Shortest path,geeksforgeeks
technical,Algorithms,medium,Which sorting has best worst-case O(n log n)?,Quick,Bubble,Merge,Selection,Merge,geeksforgeeks
technical,Algorithms,medium,Dynamic programming is based on?,Greedy,Divide and conquer,Memoization,Backtracking,Memoization,geeksforgeeks
technical,Algorithms,medium,What is time complexity of building max heap from array?,O(n log n),O(n),O(n^2),O(log n),O(n),geeksforgeeks
technical,Algorithms,medium,Which algorithm finds MST?,Kruskal and Prim,Floyd-Warshall,Bellman-Ford,DFS,Kruskal and Prim,geeksforgeeks
technical,Algorithms,medium,What is backtracking?,Recursive solving by trying options,Greedy approach,DP approach,Divide and conquer,Recursive solving by trying options,geeksforgeeks
technical,Algorithms,medium,Time complexity of counting sort?,O(n+k),O(n log n),O(n),O(n^2),O(n+k),geeksforgeeks
technical,Algorithms,medium,Floyd-Warshall algorithm finds?,Single source shortest,All pairs shortest,MST,Topological sort,All pairs shortest,geeksforgeeks
technical,Algorithms,medium,What is amortized analysis?,Average case over sequence of ops,Worst case,Best case,Space complexity,Average case over sequence of ops,geeksforgeeks
technical,Algorithms,medium,KMP algorithm is used for?,Shortest path,Pattern matching,Sorting,Graph traversal,Pattern matching,geeksforgeeks
technical,Algorithms,hard,What is NP-complete problem?,Solvable in polynomial time,Verifiable in polynomial time and NP-hard,Not solvable,Solvable in exponential time,Verifiable in polynomial time and NP-hard,geeksforgeeks
technical,Algorithms,hard,Master theorem is used to solve?,Sorting recurrences,Divide and conquer recurrences,Graph problems,DP problems,Divide and conquer recurrences,geeksforgeeks
technical,Algorithms,hard,Time complexity of Strassen's matrix multiplication?,O(n^3),O(n^2.81),O(n^2),O(n^2 log n),O(n^2.81),geeksforgeeks
technical,Algorithms,hard,What is bi-directional search?,Search from both source and target,Search two graphs,Search twice,Parallel BFS,Search from both source and target,geeksforgeeks
technical,Algorithms,hard,Huffman coding is example of?,Greedy algorithm,DP,Divide and conquer,Backtracking,Greedy algorithm,geeksforgeeks
technical,Algorithms,hard,What is competitive ratio in online algorithms?,Worst ratio to optimal offline,Best case ratio,Average performance,Space ratio,Worst ratio to optimal offline,geeksforgeeks
technical,Algorithms,hard,Travelling salesman problem is?,P class,NP-complete,NP-hard,Polynomial,NP-hard,geeksforgeeks
technical,Algorithms,hard,What is randomized quicksort expected time?,O(n log n),O(n^2),O(n),O(n^2 log n),O(n log n),geeksforgeeks
